lemma,lemma_normalized,pos,gloss,example,example_english,source_url,source_name,flags
dorado,dorado,noun,"A mahi-mahi or dolphinfish (Coryphaena hippurus), fish with a dorsal fin that runs the length of the body, also known for iridescent coloration.",,,https://en.wiktionary.org/wiki/dorado,wiktionary,
dosena,dosena,noun,"dozen year unknown, Cecile Motus, Hiligaynon Lessons, Рипол Классик (→ISBN), page 214 Nagapatindug sang taytay ang manga tawu sang Kinahanglan sang enhenyero kwarenta y singko ka bilug nga kahuy para sa Ang dosena sang bulak tag PO.60. presyong Pl.15 ang duha ka dosena. Imelda sang apat ka dosena. Mabakal ...",,,https://en.wiktionary.org/wiki/dosena,wiktionary,
dosis,dosis,noun,dose,,,https://en.wiktionary.org/wiki/dosis,wiktionary,
dotol,dotol,noun,(animals): tick,,,https://en.wiktionary.org/wiki/dotol,wiktionary,
dotol-dotol,dotol-dotol,noun,diminutive of dotól: anything resembling a tick,,,https://en.wiktionary.org/wiki/dotol-dotol,wiktionary,
duag,duag,noun,stave,,,https://en.wiktionary.org/wiki/duag,wiktionary,
duaw,duaw,noun,to visit,,,https://en.wiktionary.org/wiki/duaw,wiktionary,
dugang,dugang,noun,(formal) addition; act of adding something,,,https://en.wiktionary.org/wiki/dugang,wiktionary,
dughan,dughan,noun,(anatomy) the chest; the breast; the thorax; the bosom,,,https://en.wiktionary.org/wiki/dughan,wiktionary,
dugo,dugo,noun,blood,,,https://en.wiktionary.org/wiki/dugo,wiktionary,
dugos,dugos,noun,honeycomb,,,https://en.wiktionary.org/wiki/dugos,wiktionary,
dugus,dugus,noun,the best part of a thing,,,https://en.wiktionary.org/wiki/dugus,wiktionary,
dugwak,dugwak,noun,the purple heron (Ardea purpurea),,,https://en.wiktionary.org/wiki/dugwak,wiktionary,
duha-duha,duha-duha,noun,by pairs; two by two; two at a time,,,https://en.wiktionary.org/wiki/duha-duha,wiktionary,
duko,duko,noun,"stoop, act of bending over",,,https://en.wiktionary.org/wiki/duko,wiktionary,
dul-ay,dul-ay,noun,a lump of earth or dirt,,,https://en.wiktionary.org/wiki/dul-ay,wiktionary,
dulang,dulang,noun,wood-carved basin; washbowl,,,https://en.wiktionary.org/wiki/dulang,wiktionary,
dulangan,dulangan,noun,mine,,,https://en.wiktionary.org/wiki/dulangan,wiktionary,
dulat,dulat,noun,"awl, brad",,,https://en.wiktionary.org/wiki/dulat,wiktionary,
dulis,dulis,noun,meteorite,,,https://en.wiktionary.org/wiki/dulis,wiktionary,
dulog,dulog,noun,to sleep with; to cosleep,,,https://en.wiktionary.org/wiki/dulog,wiktionary,
dulogan,dulogan,noun,stationary,,,https://en.wiktionary.org/wiki/dulogan,wiktionary,
dulonan,dulonan,noun,"border, boundary, demarcation",,,https://en.wiktionary.org/wiki/dulonan,wiktionary,
dulongan,dulongan,noun,parking,,,https://en.wiktionary.org/wiki/dulongan,wiktionary,
dulot,dulot,noun,"gift, present",,,https://en.wiktionary.org/wiki/dulot,wiktionary,
dulud,dulud,noun,shin,,,https://en.wiktionary.org/wiki/dulud,wiktionary,
dulugokan,dulugokan,noun,attraction,,,https://en.wiktionary.org/wiki/dulugokan,wiktionary,
dulukdokan,dulukdokan,noun,grinder,,,https://en.wiktionary.org/wiki/dulukdokan,wiktionary,
dulum,dulum,noun,darkness; gloom,,,https://en.wiktionary.org/wiki/dulum,wiktionary,
dulunggan,dulunggan,noun,ear,,,https://en.wiktionary.org/wiki/dulunggan,wiktionary,
dulus,dulus,noun,potter,,,https://en.wiktionary.org/wiki/dulus,wiktionary,
dumalagan,dumalagan,noun,runaway,,,https://en.wiktionary.org/wiki/dumalagan,wiktionary,
dumalagsa,dumalagsa,noun,emigrant,,,https://en.wiktionary.org/wiki/dumalagsa,wiktionary,
dumalahan,dumalahan,noun,"engineer, executive",,,https://en.wiktionary.org/wiki/dumalahan,wiktionary,
dumot,dumot,noun,"hatred, indignation, rage",,,https://en.wiktionary.org/wiki/dumot,wiktionary,
dumuluaw,dumuluaw,noun,"guest, visitor",,,https://en.wiktionary.org/wiki/dumuluaw,wiktionary,
dumulugok,dumulugok,noun,audience,,,https://en.wiktionary.org/wiki/dumulugok,wiktionary,
dumuluong,dumuluong,noun,"alien, foreigner, stranger",,,https://en.wiktionary.org/wiki/dumuluong,wiktionary,
dunang manggad,dunang manggad,noun,natural resources,,,https://en.wiktionary.org/wiki/dunang_manggad,wiktionary,
dunkul,dunkul,noun,firewood,,,https://en.wiktionary.org/wiki/dunkul,wiktionary,
dungan,dungan,noun,simultaneous; coinciding,,,https://en.wiktionary.org/wiki/dungan,wiktionary,
dungandungan,dungandungan,noun,temple,,,https://en.wiktionary.org/wiki/dungandungan,wiktionary,
dungdung,dungdung,noun,(idiomatic) to rain cats and dogs,,,https://en.wiktionary.org/wiki/dungdung,wiktionary,
dungganon,dungganon,noun,"bigwig, celebrity, noble, royal",,,https://en.wiktionary.org/wiki/dungganon,wiktionary,
dungkaan,dungkaan,noun,"harbor; haven; port, wharf",,,https://en.wiktionary.org/wiki/dungkaan,wiktionary,
dungkul,dungkul,noun,"firewood, log",,,https://en.wiktionary.org/wiki/dungkul,wiktionary,
dungog,dungog,noun,to hear,,,https://en.wiktionary.org/wiki/dungog,wiktionary,
duog,duog,noun,"place, site",,,https://en.wiktionary.org/wiki/duog,wiktionary,
dupak,dupak,noun,"dirty, foul, obscene, smutty",,,https://en.wiktionary.org/wiki/dupak,wiktionary,
dupla,dupla,noun,A form of bell used in some medieval clocks.[1][2],,,https://en.wiktionary.org/wiki/dupla,wiktionary,
duplikado,duplikado,noun,duplicate,,,https://en.wiktionary.org/wiki/duplikado,wiktionary,
dupoy,dupoy,noun,breeze,,,https://en.wiktionary.org/wiki/dupoy,wiktionary,
duta,duta,noun,Clipping of dutasteride,,,https://en.wiktionary.org/wiki/duta,wiktionary,
dutang panublion,dutang panublion,noun,patrimony,,,https://en.wiktionary.org/wiki/dutang_panublion,wiktionary,
duyan,duyan,noun,cradle,,,https://en.wiktionary.org/wiki/duyan,wiktionary,
duyog,duyog,noun,to provide musical accompaniment,,,https://en.wiktionary.org/wiki/duyog,wiktionary,
duyong,duyong,noun,a dugong,,,https://en.wiktionary.org/wiki/duyong,wiktionary,
dyanitor,dyanitor,noun,janitor,,,https://en.wiktionary.org/wiki/dyanitor,wiktionary,
ebanhelyo,ebanhelyo,noun,archaic form of ebanghelyo,,,https://en.wiktionary.org/wiki/ebanhelyo,wiktionary,
ebanghelyo,ebanghelyo,noun,gospel,,,https://en.wiktionary.org/wiki/ebanghelyo,wiktionary,
edad,edad,noun,age Ano na an edad mo? ― How old are you now? (What is your age now?),,,https://en.wiktionary.org/wiki/edad,wiktionary,
edukasyon,edukasyon,noun,education,,,https://en.wiktionary.org/wiki/edukasyon,wiktionary,
ehemplo,ehemplo,noun,example,,,https://en.wiktionary.org/wiki/ehemplo,wiktionary,
ehersisyo,ehersisyo,noun,an exercise; a physical activity intended to improve strength and fitness,,,https://en.wiktionary.org/wiki/ehersisyo,wiktionary,
eklipse,eklipse,noun,(astronomy) eclipse,,,https://en.wiktionary.org/wiki/eklipse,wiktionary,
eksamen,eksamen,noun,"examination, exam (formal test)",,,https://en.wiktionary.org/wiki/eksamen,wiktionary,
eleksyon,eleksyon,noun,election,,,https://en.wiktionary.org/wiki/eleksyon,wiktionary,
elektrisidad,elektrisidad,noun,electricity,,,https://en.wiktionary.org/wiki/elektrisidad,wiktionary,
elepante,elepante,noun,elephant,,,https://en.wiktionary.org/wiki/elepante,wiktionary,
embahada,embahada,noun,embassy,,,https://en.wiktionary.org/wiki/embahada,wiktionary,
embahador,embahador,noun,ambassador,,,https://en.wiktionary.org/wiki/embahador,wiktionary,
embudo,embudo,noun,funnel,,,https://en.wiktionary.org/wiki/embudo,wiktionary,
empeine,empeine,noun,herpes,,,https://en.wiktionary.org/wiki/empeine,wiktionary,
emperador,emperador,noun,emperor (ruler of an empire),,,https://en.wiktionary.org/wiki/emperador,wiktionary,
enpermera,enpermera,noun,attendant,,,https://en.wiktionary.org/wiki/enpermera,wiktionary,
entablado,entablado,noun,(theater) stage,,,https://en.wiktionary.org/wiki/entablado,wiktionary,
esensya,esensya,noun,"essence; extract, tincture",,,https://en.wiktionary.org/wiki/esensya,wiktionary,
eskandalo,eskandalo,noun,scandal,,,https://en.wiktionary.org/wiki/eskandalo,wiktionary,
eskoba,eskoba,noun,brush,,,https://en.wiktionary.org/wiki/eskoba,wiktionary,
eskultor,eskultor,noun,sculptor,,,https://en.wiktionary.org/wiki/eskultor,wiktionary,
eskuwela,eskuwela,noun,school; learning institute,,,https://en.wiktionary.org/wiki/eskuwela,wiktionary,
eskwala,eskwala,noun,(carpentry) square,,,https://en.wiktionary.org/wiki/eskwala,wiktionary,
Espanya,espanya,noun,"Spain (a country in Southern Europe, including most of the Iberian peninsula)",,,https://en.wiktionary.org/wiki/Espanya,wiktionary,
espeho,espeho,noun,(dated or dialectal) mirror,,,https://en.wiktionary.org/wiki/espeho,wiktionary,
espiritu,espiritu,noun,spirit,,,https://en.wiktionary.org/wiki/espiritu,wiktionary,
estudyante,estudyante,noun,alternative spelling of estudiyante,,,https://en.wiktionary.org/wiki/estudyante,wiktionary,
frankiyo,frankiyo,noun,postage,,,https://en.wiktionary.org/wiki/frankiyo,wiktionary,
fresa,fresa,noun,strawberry (fruit),,,https://en.wiktionary.org/wiki/fresa,wiktionary,
fuersa,fuersa,noun,"force, strength, vigor",,,https://en.wiktionary.org/wiki/fuersa,wiktionary,
gab-e,gab-e,noun,night,,,https://en.wiktionary.org/wiki/gab-e,wiktionary,
gab-i,gab-i,noun,evening; night,,,https://en.wiktionary.org/wiki/gab-i,wiktionary,
gabi,gabi,noun,"Colocasia esculenta, raised as a food primarily for its corm, which distantly resembles potato.",,,https://en.wiktionary.org/wiki/gabi,wiktionary,
gabon,gabon,noun,good night,,,https://en.wiktionary.org/wiki/gabon,wiktionary,
gahud,gahud,noun,"clatter, noise",,,https://en.wiktionary.org/wiki/gahud,wiktionary,
gal-um,gal-um,noun,raincloud,,,https://en.wiktionary.org/wiki/gal-um,wiktionary,
galab,galab,noun,body,,,https://en.wiktionary.org/wiki/galab,wiktionary,
galingan,galingan,noun,grinder,,,https://en.wiktionary.org/wiki/galingan,wiktionary,
galyetas,galyetas,noun,"cracker, hardtack, biscuit",,,https://en.wiktionary.org/wiki/galyetas,wiktionary,
gamhon,gamhon,noun,(botany) weed,,,https://en.wiktionary.org/wiki/gamhon,wiktionary,
gamo,gamo,noun,spoiled,,,https://en.wiktionary.org/wiki/gamo,wiktionary,
gamosa,gamosa,noun,"A rectangular cloth, typically of red and white, used in a variety of ritual actions in Assamese culture.",,,https://en.wiktionary.org/wiki/gamosa,wiktionary,
gamot,gamot,noun,root,,,https://en.wiktionary.org/wiki/gamot,wiktionary,
gana,gana,noun,inflection of ganar: third-person singular present indicative second-person singular imperative,,,https://en.wiktionary.org/wiki/gana,wiktionary,possible_non_hiligaynon_inflection
ganhaan,ganhaan,noun,door,,,https://en.wiktionary.org/wiki/ganhaan,wiktionary,
gansa,gansa,noun,Alternative form of ganza (“kind of wild goose”).,,,https://en.wiktionary.org/wiki/gansa,wiktionary,
gansilyo,gansilyo,noun,alternative form of gantsilyo,,,https://en.wiktionary.org/wiki/gansilyo,wiktionary,
ganso,ganso,noun,goose,,,https://en.wiktionary.org/wiki/ganso,wiktionary,
garahe,garahe,noun,garage,,,https://en.wiktionary.org/wiki/garahe,wiktionary,
garapata,garapata,noun,(US) A kind of wood tick.,,,https://en.wiktionary.org/wiki/garapata,wiktionary,
garbanso,garbanso,noun,"chickpea, garbanzo",,,https://en.wiktionary.org/wiki/garbanso,wiktionary,
garuk,garuk,noun,filth,,,https://en.wiktionary.org/wiki/garuk,wiktionary,
gasolina,gasolina,noun,"gasoline, petrol (motor fuel)",,,https://en.wiktionary.org/wiki/gasolina,wiktionary,
gata,gata,noun,A kind of pastry in Armenia and some neighboring countries.,,,https://en.wiktionary.org/wiki/gata,wiktionary,
gatas,gatas,noun,plural of gata,,,https://en.wiktionary.org/wiki/gatas,wiktionary,
gatong,gatong,noun,firewood; fuel,,,https://en.wiktionary.org/wiki/gatong,wiktionary,
gawahan,gawahan,noun,window,,,https://en.wiktionary.org/wiki/gawahan,wiktionary,
gawgaw,gawgaw,noun,starch,,,https://en.wiktionary.org/wiki/gawgaw,wiktionary,
gawi,gawi,noun,female,,,https://en.wiktionary.org/wiki/gawi,wiktionary,
gesantes,gesantes,noun,"snow pea, sugar snap pea",,,https://en.wiktionary.org/wiki/gesantes,wiktionary,
gibungan,gibungan,noun,the junction of two or more rivers,,,https://en.wiktionary.org/wiki/gibungan,wiktionary,
gibwangan,gibwangan,noun,the junction of two or more rivers,,,https://en.wiktionary.org/wiki/gibwangan,wiktionary,
gikan,gikan,noun,(formal) from,,,https://en.wiktionary.org/wiki/gikan,wiktionary,
ginagihan,ginagihan,noun,incidents and events that happen to a person during their life,,,https://en.wiktionary.org/wiki/ginagihan,wiktionary,
ginharian,ginharian,noun,domain; empire; kingdom; monarchy; realm; sovereignty,,,https://en.wiktionary.org/wiki/ginharian,wiktionary,
ginhawa,ginhawa,noun,to breathe,,,https://en.wiktionary.org/wiki/ginhawa,wiktionary,
ginhawaan,ginhawaan,noun,"trachea, windpipe",,,https://en.wiktionary.org/wiki/ginhawaan,wiktionary,
ginikanan,ginikanan,noun,(formal) origin,,,https://en.wiktionary.org/wiki/ginikanan,wiktionary,
ginoo,ginoo,noun,deity; god,,,https://en.wiktionary.org/wiki/ginoo,wiktionary,
ginsakpan,ginsakpan,noun,"realm, dominion",,,https://en.wiktionary.org/wiki/ginsakpan,wiktionary,
gintung-an,gintung-an,noun,"center, middle, midpoint",,,https://en.wiktionary.org/wiki/gintung-an,wiktionary,
ginuo,ginuo,noun,sir,,,https://en.wiktionary.org/wiki/ginuo,wiktionary,
ginutlan,ginutlan,noun,"interlude, interval",,,https://en.wiktionary.org/wiki/ginutlan,wiktionary,
ginggon,ginggon,noun,gingham,,,https://en.wiktionary.org/wiki/ginggon,wiktionary,
gingikanan,gingikanan,noun,"beginning, commencement, lineage, origin, root, source, start",,,https://en.wiktionary.org/wiki/gingikanan,wiktionary,
gisi,gisi,noun,my brother,,,https://en.wiktionary.org/wiki/gisi,wiktionary,
giwa-os,giwa-os,noun,"dearth of food, famine, misery",,,https://en.wiktionary.org/wiki/giwa-os,wiktionary,
giwaos,giwaos,noun,alternative spelling of giwá-os,,,https://en.wiktionary.org/wiki/giwaos,wiktionary,
gora,gora,noun,(South Asia) Pertaining to a fair-skinned or European person. [from 19th c.],,,https://en.wiktionary.org/wiki/gora,wiktionary,
grasya,grasya,noun,alternative spelling of grasiya,,,https://en.wiktionary.org/wiki/grasya,wiktionary,
gratipikasyon,gratipikasyon,noun,"gratuity, reward, tip, (gratuity, reward)",,,https://en.wiktionary.org/wiki/gratipikasyon,wiktionary,
gripo,gripo,noun,faucet; tap; spigot,,,https://en.wiktionary.org/wiki/gripo,wiktionary,
grumete,grumete,noun,crew,,,https://en.wiktionary.org/wiki/grumete,wiktionary,
guban,guban,noun,"brigade, group, throng",,,https://en.wiktionary.org/wiki/guban,wiktionary,
gulang,gulang,noun,mature (fruits) Antonym: linghod,,,https://en.wiktionary.org/wiki/gulang,wiktionary,
guluwaan,guluwaan,noun,"exit, escape, egress",,,https://en.wiktionary.org/wiki/guluwaan,wiktionary,
gumulua,gumulua,noun,cast,,,https://en.wiktionary.org/wiki/gumulua,wiktionary,
gunting,gunting,noun,scissors,,,https://en.wiktionary.org/wiki/gunting,wiktionary,
guray,guray,noun,"streak, stripe",,,https://en.wiktionary.org/wiki/guray,wiktionary,
guray-guray,guray-guray,noun,stripe,,,https://en.wiktionary.org/wiki/guray-guray,wiktionary,
gusok,gusok,noun,(anatomy) rib,,,https://en.wiktionary.org/wiki/gusok,wiktionary,
gutom,gutom,noun,hungry; famished,,,https://en.wiktionary.org/wiki/gutom,wiktionary,
guya,guya,noun,"allegedly, supposedly; as if Niyə soruşursan? Guya cavabını özün bilmirsən.Why are you asking? As if you don't know the answer yourself. Sevmədiyi bir nəfər öləndə, yalandan ağladı, guya qanı qaralmışdı.When someone s/he didn't like died, s/he fake-cried, as if s/he were sad.",,,https://en.wiktionary.org/wiki/guya,wiktionary,
guyum,guyum,noun,"ant, (various, species)",,,https://en.wiktionary.org/wiki/guyum,wiktionary,
gwantes,gwantes,noun,gloves,,,https://en.wiktionary.org/wiki/gwantes,wiktionary,
gwardya,gwardya,noun,alternative form of guwardiya,,,https://en.wiktionary.org/wiki/gwardya,wiktionary,
habagat,habagat,noun,south,,,https://en.wiktionary.org/wiki/habagat,wiktionary,
habol,habol,noun,weave of cloth,,,https://en.wiktionary.org/wiki/habol,wiktionary,
habon,habon,noun,soap,,,https://en.wiktionary.org/wiki/habon,wiktionary,
habul,habul,noun,blanket,,,https://en.wiktionary.org/wiki/habul,wiktionary,
habyog,habyog,noun,a sweet cloudy drink made from fermented sugar palm sap,,,https://en.wiktionary.org/wiki/habyog,wiktionary,
hadlok,hadlok,noun,"to fear, to dread",,,https://en.wiktionary.org/wiki/hadlok,wiktionary,
hagdanan,hagdanan,noun,"(dialectal, Daet) alternative form of hagyanan",,,https://en.wiktionary.org/wiki/hagdanan,wiktionary,
hagna,hagna,noun,"motion, proposal",,,https://en.wiktionary.org/wiki/hagna,wiktionary,
hagunghung,hagunghung,noun,a rumbling sound,,,https://en.wiktionary.org/wiki/hagunghung,wiktionary,
hagurot,hagurot,noun,flash,,,https://en.wiktionary.org/wiki/hagurot,wiktionary,
haklu,haklu,noun,breathe,,,https://en.wiktionary.org/wiki/haklu,wiktionary,
hakuhaku,hakuhaku,noun,haste,,,https://en.wiktionary.org/wiki/hakuhaku,wiktionary,
hal-o,hal-o,noun,pestle,,,https://en.wiktionary.org/wiki/hal-o,wiktionary,
hal-u,hal-u,noun,pestle,,,https://en.wiktionary.org/wiki/hal-u,wiktionary,
halalban,halalban,noun,"meadow, pasture",,,https://en.wiktionary.org/wiki/halalban,wiktionary,
halalongan,halalongan,noun,"delicate, precaution",,,https://en.wiktionary.org/wiki/halalongan,wiktionary,
halaran,halaran,noun,third-person plural future indicative of halar,,,https://en.wiktionary.org/wiki/halaran,wiktionary,
halas,halas,noun,plural of hala,,,https://en.wiktionary.org/wiki/halas,wiktionary,
halea,halea,noun,jelly,,,https://en.wiktionary.org/wiki/halea,wiktionary,
haligi,haligi,noun,column; pillar; post,,,https://en.wiktionary.org/wiki/haligi,wiktionary,
halimbawa,halimbawa,noun,for example; for instance,,,https://en.wiktionary.org/wiki/halimbawa,wiktionary,
halintang,halintang,noun,"degree, grade",,,https://en.wiktionary.org/wiki/halintang,wiktionary,
haloan,haloan,noun,a mudfish,,,https://en.wiktionary.org/wiki/haloan,wiktionary,
halon,halon,noun,(organic chemistry) A hydrocarbon (more precisely haloalkane) in which one or more hydrogen atoms have been replaced by halogens,,,https://en.wiktionary.org/wiki/halon,wiktionary,
haluk,haluk,noun,kiss,,,https://en.wiktionary.org/wiki/haluk,wiktionary,
hamon,hamon,noun,"A wavy line found on steel products that have been hardened differentially, with soft and hard steel sections, where the tempered steel is separated from the softer parts by the hamon.",,,https://en.wiktionary.org/wiki/hamon,wiktionary,
hamot,hamot,noun,"aroma; fragrance Antonyms: bata, bangog",,,https://en.wiktionary.org/wiki/hamot,wiktionary,
hampang,hampang,noun,opposite,,,https://en.wiktionary.org/wiki/hampang,wiktionary,
hampangan,hampangan,noun,"instance of being across from, opposite of one another",,,https://en.wiktionary.org/wiki/hampangan,wiktionary,
hanluk,hanluk,noun,alternative spelling of hánlug,,,https://en.wiktionary.org/wiki/hanluk,wiktionary,
hangaway,hangaway,noun,"martial, warlike",,,https://en.wiktionary.org/wiki/hangaway,wiktionary,
hangga,hangga,noun,(pathology) chickenpox; varicella,,,https://en.wiktionary.org/wiki/hangga,wiktionary,
hangin,hangin,noun,wind (movement of air),,,https://en.wiktionary.org/wiki/hangin,wiktionary,
hanginero,hanginero,noun,windbag; braggart,,,https://en.wiktionary.org/wiki/hanginero,wiktionary,
hapon,hapon,noun,afternoon,,,https://en.wiktionary.org/wiki/hapon,wiktionary,
haroan,haroan,noun,a mudfish,,,https://en.wiktionary.org/wiki/haroan,wiktionary,
harupot,harupot,noun,breeze,,,https://en.wiktionary.org/wiki/harupot,wiktionary,
hawak,hawak,noun,(anatomy) body; torso,,,https://en.wiktionary.org/wiki/hawak,wiktionary,
hikab,hikab,noun,(pathology) asthma,,,https://en.wiktionary.org/wiki/hikab,wiktionary,
hilanat,hilanat,noun,fever,,,https://en.wiktionary.org/wiki/hilanat,wiktionary,
hima,hima,noun,clam,,,https://en.wiktionary.org/wiki/hima,wiktionary,
himatayon,himatayon,noun,dying; about to die,,,https://en.wiktionary.org/wiki/himatayon,wiktionary,
himaya,himaya,noun,glory; worship or praise,,,https://en.wiktionary.org/wiki/himaya,wiktionary,
hinablos,hinablos,noun,nephew ; niece,,,https://en.wiktionary.org/wiki/hinablos,wiktionary,
hinakay,hinakay,noun,"a charge, fare, or fee",,,https://en.wiktionary.org/wiki/hinakay,wiktionary,
hinalabuab,hinalabuab,noun,offspring,,,https://en.wiktionary.org/wiki/hinalabuab,wiktionary,
hinambalan,hinambalan,noun,promise,,,https://en.wiktionary.org/wiki/hinambalan,wiktionary,
hinugyaw,hinugyaw,noun,excitement,,,https://en.wiktionary.org/wiki/hinugyaw,wiktionary,
hingabot,hingabot,noun,lust,,,https://en.wiktionary.org/wiki/hingabot,wiktionary,
hinganiban,hinganiban,noun,"(obsolete) any weapon, defensive or offensive",,,https://en.wiktionary.org/wiki/hinganiban,wiktionary,
hingudto,hingudto,noun,the sun's zenith; midday,,,https://en.wiktionary.org/wiki/hingudto,wiktionary,
hinguyang,hinguyang,noun,expense,,,https://en.wiktionary.org/wiki/hinguyang,wiktionary,
hiphip,hiphip,noun,bribe,,,https://en.wiktionary.org/wiki/hiphip,wiktionary,
hiwit,hiwit,noun,"a bewitchment, charm, or spell",,,https://en.wiktionary.org/wiki/hiwit,wiktionary,
hiyas,hiyas,noun,jewel,,,https://en.wiktionary.org/wiki/hiyas,wiktionary,
hoyohoy,hoyohoy,noun,alternative spelling of huyuhoy,,,https://en.wiktionary.org/wiki/hoyohoy,wiktionary,
huad,huad,noun,something that is counterfeit or facsimile,,,https://en.wiktionary.org/wiki/huad,wiktionary,
huaran,huaran,noun,example,,,https://en.wiktionary.org/wiki/huaran,wiktionary,
hulip,hulip,noun,to replace; to take the place of; to supply the want of; to fulfill the end or office of,,,https://en.wiktionary.org/wiki/hulip,wiktionary,
hulonan,hulonan,noun,roost,,,https://en.wiktionary.org/wiki/hulonan,wiktionary,
hulugpaan,hulugpaan,noun,airport Hulugpaan sang Roxas Roxas Airport,,,https://en.wiktionary.org/wiki/hulugpaan,wiktionary,
hulusayon,hulusayon,noun,question,,,https://en.wiktionary.org/wiki/hulusayon,wiktionary,
humbak,humbak,noun,wake; the path left behind a ship on the surface of the water,,,https://en.wiktionary.org/wiki/humbak,wiktionary,
hupa,hupa,noun,quickly diminishing,,,https://en.wiktionary.org/wiki/hupa,wiktionary,
husay,husay,noun,"neat, well-arranged",,,https://en.wiktionary.org/wiki/husay,wiktionary,
hutik,hutik,noun,whisper,,,https://en.wiktionary.org/wiki/hutik,wiktionary,
huyuhoy,huyuhoy,noun,(uncommon) breeze,,,https://en.wiktionary.org/wiki/huyuhoy,wiktionary,
idalum,idalum,noun,underneath; beneath; below,,,https://en.wiktionary.org/wiki/idalum,wiktionary,
ignorante,ignorante,noun,ignorant,,,https://en.wiktionary.org/wiki/ignorante,wiktionary,
ikog,ikog,noun,tail,,,https://en.wiktionary.org/wiki/ikog,wiktionary,
ilaga,ilaga,noun,rat (medium-sized rodent of Genus Rattus),,,https://en.wiktionary.org/wiki/ilaga,wiktionary,
ilisan,ilisan,noun,dressing room where someone changes clothing,,,https://en.wiktionary.org/wiki/ilisan,wiktionary,
ilok,ilok,noun,(anatomy) armpit,,,https://en.wiktionary.org/wiki/ilok,wiktionary,
ilong,ilong,noun,nose,,,https://en.wiktionary.org/wiki/ilong,wiktionary,
init,init,noun,(computing) Clipping of initialization. After the sixth successive system init he had to concede that the database was corrupt.,,,https://en.wiktionary.org/wiki/init,wiktionary,
inpierno,inpierno,noun,hell,,,https://en.wiktionary.org/wiki/inpierno,wiktionary,
ingol,ingol,noun,"scarcity, dearth",,,https://en.wiktionary.org/wiki/ingol,wiktionary,
ipot-ipot,ipot-ipot,noun,firefly,,,https://en.wiktionary.org/wiki/ipot-ipot,wiktionary,
isda,isda,noun,(Daet) fish,,,https://en.wiktionary.org/wiki/isda,wiktionary,
itom,itom,noun,black (color/colour),,,https://en.wiktionary.org/wiki/itom,wiktionary,
iyot,iyot,noun,(vulgar) coitus; sexual intercourse,,,https://en.wiktionary.org/wiki/iyot,wiktionary,
kaagahon,kaagahon,noun,dawn,,,https://en.wiktionary.org/wiki/kaagahon,wiktionary,
kaambong,kaambong,noun,handsomeness,,,https://en.wiktionary.org/wiki/kaambong,wiktionary,
kaaway,kaaway,noun,enemy; foe,,,https://en.wiktionary.org/wiki/kaaway,wiktionary,
kabakahan,kabakahan,noun,cattle,,,https://en.wiktionary.org/wiki/kabakahan,wiktionary,
kabalyero,kabalyero,noun,peacock flower (Caesalpinia pulcherrima),,,https://en.wiktionary.org/wiki/kabalyero,wiktionary,
kabanyagaan,kabanyagaan,noun,"mean, malicious, vile, wicked",,,https://en.wiktionary.org/wiki/kabanyagaan,wiktionary,
kabangisan,kabangisan,noun,violence; cruelty; wickedness,,,https://en.wiktionary.org/wiki/kabangisan,wiktionary,
kabayo,kabayo,noun,horse,,,https://en.wiktionary.org/wiki/kabayo,wiktionary,
kabesera,kabesera,noun,head of the table,,,https://en.wiktionary.org/wiki/kabesera,wiktionary,
kabuang,kabuang,noun,madness; insanity,,,https://en.wiktionary.org/wiki/kabuang,wiktionary,
kabugaw,kabugaw,noun,the Kaffir lime (Citrus hystrix),,,https://en.wiktionary.org/wiki/kabugaw,wiktionary,
kabuhi,kabuhi,noun,"an illness characterized by dizziness, nausea, chills and symptoms similar to hyperacidity, gripes, heartburn and gastroesophageal reflux disease",,,https://en.wiktionary.org/wiki/kabuhi,wiktionary,
kabulig,kabulig,noun,"assistant, helper",,,https://en.wiktionary.org/wiki/kabulig,wiktionary,
kadak-an,kadak-an,noun,hall,,,https://en.wiktionary.org/wiki/kadak-an,wiktionary,
kadalag-an,kadalag-an,noun,success,,,https://en.wiktionary.org/wiki/kadalag-an,wiktionary,
kadang,kadang,noun,stilts Nagalakát silá sa kádang.They are walking on stilts.,,,https://en.wiktionary.org/wiki/kadang,wiktionary,
kadugay,kadugay,noun,duration,,,https://en.wiktionary.org/wiki/kadugay,wiktionary,
kadumot,kadumot,noun,"hatred, grudge Antonym: higugma",,,https://en.wiktionary.org/wiki/kadumot,wiktionary,
kadumut,kadumut,noun,alternative spelling of kadumot,,,https://en.wiktionary.org/wiki/kadumut,wiktionary,
kagab-i,kagab-i,noun,last night,,,https://en.wiktionary.org/wiki/kagab-i,wiktionary,
kagagmayan,kagagmayan,noun,the poor or uninfluential members of a community,,,https://en.wiktionary.org/wiki/kagagmayan,wiktionary,
kagaw,kagaw,noun,scratching (relief for an itch),,,https://en.wiktionary.org/wiki/kagaw,wiktionary,
kagayonan,kagayonan,noun,beauty; splendor,,,https://en.wiktionary.org/wiki/kagayonan,wiktionary,
kagulangan,kagulangan,noun,old-growth forest,,,https://en.wiktionary.org/wiki/kagulangan,wiktionary,
kahas,kahas,noun,daringness,,,https://en.wiktionary.org/wiki/kahas,wiktionary,
